x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
1.773508,-3.702988,2.4984,0.5000,-0.088876,0.205454,5.4040
1.904288,-3.703671,2.4968,0.5036,0.037415,0.153475,5.5860
2.042853,-3.692905,2.5175,0.5103,0.117078,0.145401,5.7623
2.177306,-3.671560,2.5283,0.5357,0.189769,0.128391,5.9333
2.299947,-3.643523,2.5667,0.5743,0.246122,0.102284,6.0000
2.399681,-3.615696,2.5472,0.6106,0.289134,0.082286,6.0000
2.498452,-3.584473,2.3576,0.6595,0.330467,0.090652,6.0000
2.622564,-3.539237,2.1781,0.7084,0.389519,0.113931,6.0000
2.780161,-3.468834,1.9905,0.7535,0.478768,0.135129,6.0000
2.965996,-3.360979,1.8191,0.8277,0.594995,0.142446,6.0000
3.158206,-3.212967,1.6646,0.9242,0.729384,0.142933,6.0000
3.337414,-3.029002,1.5225,1.0001,0.864546,0.125599,6.0000
3.495382,-2.817699,1.4167,1.0787,0.990241,0.117081,6.0000
3.625844,-2.589298,1.3399,1.1509,1.106638,0.106381,6.0000
3.728397,-2.352262,1.2955,1.2051,1.214730,0.103746,6.0000
3.803627,-2.111280,1.2794,1.2317,1.306377,0.076353,6.0000
3.859692,-1.867348,1.2841,1.2389,1.378711,0.067590,6.0000
3.899176,-1.619986,1.3073,1.2292,1.436342,0.047287,6.0000
3.927042,-1.369462,1.3440,1.2075,1.476986,0.033375,6.0000
3.946594,-1.116000,1.4069,1.1666,1.505930,0.023634,6.0000
3.960142,-0.859896,1.4742,1.1295,1.519266,0.002550,6.0000
3.973141,-0.601291,1.5436,1.0823,1.515446,-0.009733,6.0000
3.989036,-0.338392,1.6278,1.0453,1.494053,-0.030281,6.0000
4.014032,-0.069510,1.7024,1.0003,1.453487,-0.044382,6.0000
4.053092,0.205140,1.7892,0.9552,1.395182,-0.060371,6.0000
4.112176,0.483594,1.8611,0.9288,1.319304,-0.072951,6.0000
4.196232,0.762249,1.9135,0.9066,1.227675,-0.084689,6.0000
4.309662,1.036386,1.9761,0.9019,1.121850,-0.093706,6.0000
4.456047,1.301556,2.0194,0.8877,1.003624,-0.103055,6.0000
4.635885,1.548520,2.0597,0.8699,0.872486,-0.113136,6.0000
4.848111,1.768631,2.0710,0.8260,0.733656,-0.114593,6.0000
5.089572,1.957530,2.0798,0.7930,0.601067,-0.103319,6.0000
5.351420,2.113752,2.0707,0.7923,0.484328,-0.089763,6.0000
5.623472,2.238428,2.0589,0.7890,0.380837,-0.083674,6.0000
5.900253,2.333496,2.0412,0.7966,0.287768,-0.075349,6.0000
6.178103,2.402590,2.0017,0.8290,0.208950,-0.062841,6.0000
6.450915,2.450261,1.9620,0.8704,0.144409,-0.053393,6.0000
6.716945,2.480949,1.9206,0.9088,0.092695,-0.042287,6.0000
6.978308,2.499288,1.8740,0.9568,0.058355,-0.022451,6.0000
7.238567,2.511423,1.8211,0.9971,0.042168,-0.008497,6.0000
7.498675,2.521244,1.7799,1.0477,0.032542,-0.010060,6.0000
7.756963,2.528299,1.7365,1.0828,0.018358,-0.017367,6.0000
8.014553,2.530716,1.6887,1.1311,0.000596,-0.017030,6.0000
8.272581,2.528606,1.6365,1.1773,-0.017962,-0.019020,6.0000
8.529704,2.521462,1.5810,1.2273,-0.039613,-0.023009,6.0000
8.786591,2.508234,1.5311,1.2742,-0.058931,-0.014531,6.0000
9.043506,2.491148,1.4735,1.3313,-0.062731,0.007180,6.0000
9.299024,2.476046,1.4202,1.3775,-0.048402,0.020905,6.0000
9.553136,2.466461,1.3698,1.4281,-0.025179,0.024722,6.0000
9.806407,2.463268,1.3275,1.4453,0.003718,0.032321,6.0000
10.058961,2.468342,1.3010,1.4828,0.042556,0.044767,6.0000
10.309480,2.484689,1.2846,1.4802,0.088293,0.046446,6.0000
10.557036,2.512433,1.2705,1.4889,0.131650,0.040101,6.0000
10.804203,2.550199,1.2654,1.4720,0.170595,0.037860,6.0000
11.050348,2.597415,1.2824,1.4538,0.210553,0.041945,6.0000
11.294443,2.654973,1.3058,1.4085,0.253936,0.044331,6.0000
11.537230,2.723780,1.3337,1.3768,0.297682,0.042234,6.0000
11.779238,2.803707,1.3805,1.3164,0.341944,0.044629,6.0000
12.019588,2.895463,1.4344,1.2602,0.393329,0.055058,6.0000
12.257097,3.001996,1.5053,1.2007,0.457353,0.068196,6.0000
12.488018,3.126004,1.5821,1.1386,0.531590,0.075217,6.0000
12.705126,3.265461,1.6782,1.0602,0.611995,0.082855,6.0000
12.901704,3.416367,1.7940,0.9808,0.696238,0.090207,6.0000
13.071573,3.571765,1.9179,0.9038,0.780755,0.096263,6.0000
13.211673,3.723471,2.0488,0.8345,0.858660,0.090972,6.0000
13.326436,3.867002,2.1832,0.7632,0.928358,0.095427,6.0000
13.422121,4.004690,2.3016,0.6978,0.992204,0.090105,6.0000
13.505241,4.140757,2.3611,0.6458,1.055084,0.105973,6.0000
13.576726,4.277419,2.3888,0.6044,1.121469,0.110580,6.0000
13.636238,4.412408,2.3987,0.5728,1.193533,0.122715,6.0000
13.688015,4.558280,2.4022,0.5402,1.276023,0.135109,6.0000
13.730852,4.724029,2.4154,0.5108,1.377898,0.166000,6.0000
13.755441,4.903474,2.4284,0.5000,1.493919,0.166497,6.0000
13.758431,5.082060,2.4526,0.5046,1.604668,0.147564,6.0000
13.743590,5.253226,2.5064,0.5017,1.703235,0.137160,6.0000
13.713635,5.418318,2.5400,0.5171,1.788788,0.122862,6.0000
13.673467,5.569792,2.5563,0.5547,1.856860,0.100442,6.0000
13.631965,5.695982,2.5944,0.5981,1.906740,0.078307,6.0000
13.591539,5.804421,2.6382,0.6404,1.943306,0.066742,6.0000
13.547127,5.913098,2.6670,0.6991,1.973878,0.060124,6.0000
13.496201,6.027993,2.6715,0.7590,2.006812,0.065881,6.0000
13.434015,6.155868,2.5420,0.8145,2.045592,0.064995,6.0000
13.353846,6.304941,2.3515,0.8946,2.092687,0.069233,6.0000
13.248006,6.479320,2.1564,0.9756,2.158353,0.092242,6.0000
13.114858,6.663769,1.9822,1.0690,2.244142,0.099930,6.0000
12.956249,6.845061,1.8233,1.1578,2.340536,0.099741,6.0000
12.769600,7.020013,1.6635,1.2499,2.442240,0.101813,6.0000
12.558776,7.179409,1.5399,1.3274,2.547920,0.102150,6.0000
12.332775,7.314821,1.4408,1.3834,2.645471,0.084641,6.0000
12.100233,7.427608,1.3680,1.4180,2.727140,0.072998,6.0000
11.863434,7.521300,1.3104,1.4455,2.802111,0.074138,6.0000
11.623097,7.596110,1.2663,1.4590,2.878963,0.078379,6.0000
11.379333,7.651446,1.2542,1.4396,2.956807,0.076819,6.0000
