x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
-4.592789,-6.396036,0.6367,1.0633,-0.092424,0.203013,7.0394
-4.343338,-6.412789,0.6404,1.1018,-0.041547,0.204195,6.9586
-4.093356,-6.416798,0.6634,1.1741,0.009826,0.206993,6.8763
-3.843499,-6.407878,0.6347,1.2026,0.061942,0.210139,6.7920
-3.594451,-6.385856,0.6302,1.2568,0.114996,0.214511,6.7053
-3.346938,-6.350522,0.5793,1.2627,0.169305,0.220190,6.6159
-3.101741,-6.301631,0.5259,1.2668,0.225161,0.226904,6.5230
-2.859706,-6.238925,0.4753,1.2711,0.282811,0.234571,6.4264
-2.621760,-6.162149,0.4328,1.2789,0.342479,0.243080,6.3255
-2.388913,-6.071074,0.4070,1.2960,0.404338,0.252140,6.2201
-2.162263,-5.965523,0.4023,1.3243,0.468527,0.261764,6.1099
-1.942994,-5.845388,0.4134,1.3567,0.535278,0.272696,5.9946
-1.732408,-5.710606,0.4342,1.3839,0.604992,0.285521,5.8766
-1.531956,-5.561159,0.4387,1.3814,0.678139,0.300232,5.7563
-1.343258,-5.397112,0.4825,1.4058,0.755304,0.317764,5.6333
-1.168153,-5.218619,0.5166,1.4072,0.837185,0.338095,5.5077
-1.008717,-5.025994,0.5355,1.3798,0.924479,0.361233,5.3790
-0.867271,-4.819788,0.5544,1.3357,1.018009,0.388228,5.2473
-0.746438,-4.600870,0.5809,1.2806,1.118598,0.418026,5.1121
-0.649054,-4.370568,0.6073,1.2075,1.226721,0.448915,4.9732
-0.578010,-4.130833,0.6529,1.1330,1.343112,0.484702,4.8304
-0.536381,-3.884285,0.7313,1.0704,1.469187,0.527124,4.6832
-0.527395,-3.634415,0.7526,0.9309,1.606681,0.577075,4.5313
-0.554275,-3.385847,0.8023,0.8096,1.757638,0.636318,4.3741
-0.619986,-3.144641,0.8825,0.7177,1.925037,0.710909,4.2110
-0.727017,-2.918775,0.9167,0.5812,2.112490,0.800318,4.0414
-0.876414,-2.718493,0.9689,0.4853,2.325241,0.919372,3.8644
-1.066955,-2.557113,0.9877,0.4096,2.568909,1.056878,3.6790
-1.292495,-2.450220,0.9209,0.4077,2.837722,1.129790,3.5462
-1.538646,-2.409199,0.7659,0.4440,3.104496,1.038186,3.5462
-1.787662,-2.431842,0.6456,0.5304,-2.948256,0.828596,3.7152
-2.026764,-2.504764,0.5628,0.6222,-2.762377,0.669216,4.1993
-2.250577,-2.616315,0.5328,0.7185,-2.616772,0.501080,4.6490
-2.458730,-2.754864,0.4965,0.7759,-2.510142,0.354001,4.8966
-2.653815,-2.911218,0.4573,0.8027,-2.438791,0.217437,5.0841
-2.840131,-3.077944,0.4545,0.8453,-2.401821,0.078447,5.1898
-3.023137,-3.248288,0.4478,0.8669,-2.397379,-0.042910,5.2145
-3.207957,-3.416656,0.4418,0.8798,-2.421041,-0.146419,5.1761
-3.398815,-3.578150,0.4569,0.9047,-2.471514,-0.257610,5.0994
-3.599658,-3.727033,0.4340,0.8848,-2.550447,-0.374751,5.0038
-3.813515,-3.856503,0.4143,0.8539,-2.657905,-0.487124,4.8619
-4.041460,-3.959115,0.4007,0.8285,-2.794044,-0.606464,4.7157
-4.282224,-4.026294,0.4015,0.8321,-2.957526,-0.708947,4.5649
-4.531052,-4.050264,0.4382,0.8984,-3.121812,-0.613082,4.5649
-4.780616,-4.036154,0.4706,0.9685,3.018244,-0.537005,4.9304
-5.026091,-3.988890,0.4728,0.9992,2.892633,-0.471352,5.2864
-5.264330,-3.913177,0.4632,0.9958,2.782046,-0.415672,5.6594
-5.493464,-3.813211,0.5357,1.0458,2.684675,-0.364893,6.0418
-5.712562,-3.692820,0.6082,1.0624,2.599562,-0.317066,6.4555
-5.921459,-3.555476,0.6401,1.0033,2.526098,-0.271312,6.8110
-6.120582,-3.404297,0.6739,0.9218,2.464735,-0.219974,7.1383
-6.311105,-3.242403,0.6792,0.8056,2.417376,-0.159069,7.4166
-6.495042,-3.073066,0.7286,0.7261,2.385310,-0.097510,7.6302
-6.674796,-2.899296,0.7789,0.6467,2.368151,-0.039762,7.7717
-6.852814,-2.723749,0.8542,0.5916,2.365124,0.015548,7.8451
-7.031513,-2.548894,0.9327,0.5421,2.375937,0.070952,7.8636
-7.213285,-2.377237,1.0050,0.4880,2.400363,0.124474,7.8464
-7.400308,-2.211319,1.0832,0.4581,2.437579,0.173337,7.8070
-7.594337,-2.053658,1.1575,0.4516,2.486243,0.216159,7.7386
-7.796594,-1.906701,1.1487,0.4041,2.545849,0.261056,7.6607
-8.007982,-1.773246,1.1571,0.4098,2.611972,0.268386,7.5692
-8.227853,-1.654239,1.1857,0.4526,2.673810,0.226723,7.5692
-8.454105,-1.547873,1.2035,0.5000,2.726056,0.191471,7.7185
-8.685190,-1.452449,1.1905,0.5344,2.769049,0.152599,7.6491
-8.919746,-1.365905,1.1445,0.5564,2.802236,0.112944,7.5793
-9.156653,-1.286016,1.0434,0.5538,2.825514,0.073298,7.5087
-9.394984,-1.210481,0.9464,0.5832,2.838705,0.032226,7.4407
-9.633917,-1.136870,0.8430,0.6210,2.841189,-0.012359,7.3712
-9.872620,-1.062520,0.6417,0.5577,2.832089,-0.060439,7.3003
