x_m,y_m
-4.452000,-7.157000
-4.502000,-7.107000
-4.552000,-7.107000
-4.602000,-7.107000
-4.652000,-7.107000
-4.702000,-7.107000
-4.752000,-7.107000
-4.802000,-7.057000
-4.852000,-7.057000
-4.902000,-7.057000
-4.952000,-7.057000
-5.002000,-7.057000
-5.052000,-7.007000
-5.102000,-7.007000
-5.152000,-7.007000
-5.202000,-7.007000
-5.252000,-6.957000
-5.302000,-6.957000
-5.352000,-6.957000
-5.402000,-6.907000
-5.452000,-6.907000
-5.502000,-6.857000
-5.552000,-6.857000
-5.602000,-6.807000
-5.652000,-6.807000
-5.702000,-6.807000
-5.752000,-6.757000
-5.802000,-6.757000
-5.852000,-6.707000
-5.902000,-6.707000
-5.952000,-6.707000
-6.002000,-6.657000
-6.052000,-6.657000
-6.102000,-6.607000
-6.152000,-6.607000
-6.202000,-6.557000
-6.252000,-6.507000
-6.302000,-6.507000
-6.352000,-6.457000
-6.402000,-6.457000
-6.452000,-6.457000
-6.502000,-6.407000
-6.552000,-6.407000
-6.602000,-6.357000
-6.652000,-6.307000
-6.702000,-6.257000
-6.752000,-6.257000
-6.802000,-6.207000
-6.852000,-6.207000
-6.902000,-6.207000
-6.952000,-6.207000
-7.002000,-6.207000
-7.052000,-6.207000
-7.102000,-6.207000
-7.152000,-6.157000
-7.202000,-6.157000
-7.252000,-6.157000
-7.302000,-6.107000
-7.352000,-6.107000
-7.402000,-6.057000
-7.452000,-6.057000
-7.502000,-6.057000
-7.552000,-6.007000
-7.602000,-6.007000
-7.652000,-5.957000
-7.702000,-5.957000
-7.752000,-5.907000
-7.802000,-5.907000
-7.852000,-5.857000
-7.902000,-5.807000
-7.952000,-5.807000
-8.002000,-5.807000
-8.052000,-5.757000
-8.102000,-5.757000
-8.152000,-5.707000
-8.202000,-5.707000
-8.252000,-5.707000
-8.302000,-5.657000
-8.352000,-5.657000
-8.402000,-5.657000
-8.452000,-5.657000
-8.502000,-5.657000
-8.552000,-5.607000
-8.602000,-5.557000
-8.652000,-5.507000
-8.702000,-5.507000
-8.752000,-5.457000
-8.802000,-5.407000
-8.852000,-5.407000
-8.902000,-5.357000
-8.952000,-5.357000
-9.002000,-5.307000
-9.052000,-5.257000
-9.102000,-5.257000
-9.152000,-5.257000
-9.202000,-5.207000
-9.252000,-5.207000
-9.302000,-5.157000
-9.352000,-5.107000
-9.402000,-5.107000
-9.452000,-5.057000
-9.502000,-5.057000
-9.552000,-5.057000
-9.602000,-5.007000
-9.652000,-5.007000
-9.702000,-5.007000
-9.752000,-4.957000
-9.802000,-4.957000
-9.852000,-4.957000
-9.902000,-4.907000
-9.952000,-4.907000
-10.002000,-4.857000
-10.052000,-4.807000
-10.102000,-4.807000
-10.152000,-4.757000
-10.202000,-4.757000
-10.252000,-4.707000
-10.302000,-4.707000
-10.352000,-4.657000
-10.402000,-4.607000
-10.452000,-4.607000
-10.502000,-4.557000
-10.552000,-4.507000
-10.602000,-4.507000
-10.652000,-4.457000
-10.702000,-4.407000
-10.752000,-4.407000
-10.802000,-4.357000
-10.852000,-4.357000
-10.902000,-4.307000
-10.952000,-4.257000
-11.002000,-4.257000
-11.052000,-4.207000
-11.102000,-4.157000
-11.152000,-4.157000
-11.202000,-4.107000
-11.252000,-4.057000
-11.302000,-4.057000
-11.352000,-4.007000
-11.402000,-3.957000
-11.452000,-3.957000
