x_m,y_m,w_tr_right_m,w_tr_left_m
-4.552000,-6.124245,0.8000,0.8000
-4.502000,-6.121860,0.8000,0.8000
-4.452000,-6.118810,0.8000,0.8000
-4.402000,-6.114128,0.8098,0.8098
-4.352000,-6.108700,0.8197,0.8197
-4.302000,-6.101563,0.7795,0.7795
-4.252000,-6.094589,0.7894,0.7894
-4.202000,-6.085951,0.7992,0.7992
-4.152000,-6.077528,0.8091,0.8091
-4.102000,-6.068367,0.8189,0.8189
-4.052000,-6.058387,0.8295,0.8295
-4.002000,-6.047625,0.7894,0.7894
-3.952000,-6.036120,0.7992,0.7992
-3.902000,-6.023801,0.8091,0.8091
-3.852000,-6.011583,0.8189,0.8189
-3.802000,-5.997662,0.7991,0.7991
-3.752000,-5.982959,0.8091,0.8091
-3.702000,-5.968397,0.8189,0.8189
-3.652000,-5.953052,0.7894,0.7894
-3.602000,-5.936872,0.7991,0.7991
-3.552000,-5.920790,0.7689,0.7689
-3.502000,-5.903895,0.7689,0.7689
-3.452000,-5.887128,0.7689,0.7689
-3.402000,-5.869585,0.7591,0.7591
-3.352000,-5.851233,0.7591,0.7591
-3.302000,-5.832043,0.7689,0.7689
-3.252000,-5.811987,0.7591,0.7591
-3.202000,-5.791042,0.7591,0.7591
-3.152000,-5.770171,0.7591,0.7591
-3.102000,-5.748488,0.7591,0.7591
-3.052000,-5.725981,0.7591,0.7591
-3.002000,-5.702639,0.7492,0.7492
-2.951130,-5.678457,0.7492,0.7492
-2.900371,-5.653428,0.7591,0.7591
-2.849721,-5.628537,0.7291,0.7291
-2.799177,-5.602918,0.7591,0.7591
-2.748737,-5.576578,0.7291,0.7291
-2.697526,-5.549526,0.7495,0.7495
-2.646524,-5.521775,0.7194,0.7194
-2.595726,-5.494326,0.7291,0.7291
-2.544255,-5.466329,0.7091,0.7091
-2.493088,-5.437808,0.7291,0.7291
-2.441345,-5.407806,0.7091,0.7091
-2.390001,-5.377220,0.7291,0.7291
-2.338174,-5.346079,0.7291,0.7291
-2.285964,-5.314416,0.7291,0.7291
-2.233468,-5.281282,0.7495,0.7495
-2.181651,-5.247581,0.7398,0.7398
-2.129624,-5.213353,0.7591,0.7591
-2.077478,-5.177653,0.7592,0.7592
-2.025302,-5.141393,0.7495,0.7495
-1.973182,-5.104616,0.7398,0.7398
-1.922072,-5.067370,0.7700,0.7700
-1.871070,-5.029703,0.7700,0.7700
-1.820257,-4.990683,0.7700,0.7700
-1.769711,-4.950248,0.7700,0.7700
-1.718636,-4.909320,0.7894,0.7894
