x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
-4.534623,-6.251003,0.6719,0.9281,0.022950,0.199612,9.7508
-4.284743,-6.239023,0.6416,0.9199,0.072563,0.197226,9.8043
-4.035757,-6.214740,0.6712,0.9857,0.121630,0.195245,9.8591
-3.788251,-6.178335,0.6252,0.9830,0.170261,0.193735,9.9056
-3.542798,-6.129987,0.5807,0.9862,0.218564,0.192612,9.9367
-3.299957,-6.069879,0.5399,0.9879,0.266646,0.191966,9.9445
-3.060279,-5.998187,0.5132,1.0058,0.314633,0.191859,9.9177
-2.824315,-5.915084,0.4810,1.0185,0.362624,0.191989,9.8421
-2.592609,-5.820752,0.4435,1.0211,0.410827,0.193557,9.7027
-2.365741,-5.715323,0.4114,1.0200,0.458973,0.191527,9.4896
-2.144174,-5.599149,0.4148,1.0480,0.509004,0.208664,9.2027
-1.928971,-5.471582,0.4222,1.0743,0.564840,0.238003,8.8536
-1.721730,-5.331441,0.4258,1.0881,0.627720,0.265104,8.4623
-1.524222,-5.177884,0.4513,1.1124,0.697701,0.294914,7.9949
-1.338553,-5.010199,0.4861,1.1316,0.775350,0.326619,7.5676
-1.167169,-4.827935,0.5040,1.1146,0.861222,0.360907,7.1690
-1.012885,-4.630981,0.5258,1.0840,0.955952,0.397791,6.7976
-0.878889,-4.419696,0.5698,1.0584,1.060329,0.438489,6.4419
-0.768768,-4.195036,0.5985,0.9970,1.175465,0.484438,6.0939
-0.686531,-3.958738,0.6598,0.9485,1.302780,0.536742,5.7516
-0.636549,-3.713581,0.7138,0.8711,1.444161,0.598199,5.4009
-0.623509,-3.463734,0.7669,0.7714,1.602062,0.670791,5.0531
-0.652136,-3.215231,0.8427,0.6801,1.779552,0.757855,4.7060
-0.726719,-2.976532,0.9195,0.5852,1.981049,0.867779,4.3354
-0.850415,-2.759344,0.9736,0.4891,2.211898,1.000776,3.9667
-1.023291,-2.579119,0.9938,0.4274,2.479919,1.179311,3.5671
-1.240140,-2.455830,0.9268,0.4073,2.787733,1.335631,3.2803
-1.485342,-2.408433,0.7846,0.4369,3.086127,1.100199,3.2803
-1.734627,-2.428375,0.6593,0.4956,-2.954090,0.869208,3.7330
-1.973978,-2.501143,0.5713,0.5682,-2.760755,0.689276,4.3310
-2.197425,-2.613672,0.5660,0.6867,-2.609219,0.528293,4.9782
-2.404157,-2.754566,0.5357,0.7428,-2.496361,0.376527,5.8035
-2.596745,-2.914243,0.5010,0.7623,-2.420989,0.226871,6.5286
-2.779970,-3.084581,0.5068,0.8021,-2.382102,0.084168,6.9230
-2.959566,-3.258735,0.4935,0.8073,-2.377729,-0.049206,7.0922
-3.141293,-3.430667,0.4954,0.8215,-2.406393,-0.180032,7.0255
-3.330568,-3.594241,0.5071,0.8431,-2.467427,-0.308363,6.7715
-3.531874,-3.742764,0.4901,0.8384,-2.560224,-0.435048,6.3801
-3.748051,-3.868580,0.4595,0.8185,-2.683926,-0.557227,5.6303
-3.979591,-3.963285,0.4061,0.7843,-2.840525,-0.701709,4.9261
-4.223986,-4.016361,0.4076,0.8307,-3.005772,-0.627127,4.9261
-4.473693,-4.030810,0.4133,0.9003,3.131320,-0.546385,5.2606
-4.723057,-4.011234,0.4360,0.9876,3.003099,-0.482428,5.6937
-4.968265,-3.961873,0.4432,1.0427,2.889345,-0.429600,6.1081
-5.206794,-3.886557,0.4364,1.0546,2.787925,-0.383081,6.5154
-5.437046,-3.788804,0.4912,1.0934,2.697645,-0.339986,6.9394
-5.658184,-3.671871,0.5630,1.1138,2.617982,-0.297792,7.4052
