x_m,y_m
5.980000,-1.521000
6.030000,-1.571000
6.080000,-1.521000
6.130000,-1.521000
6.180000,-1.471000
6.180000,-1.421000
6.230000,-1.371000
6.230000,-1.321000
6.230000,-1.271000
6.230000,-1.221000
6.230000,-1.171000
6.180000,-1.121000
6.180000,-1.071000
6.130000,-1.021000
6.080000,-0.971000
6.030000,-0.971000
5.980000,-0.921000
5.930000,-0.871000
5.880000,-0.821000
5.830000,-0.771000
5.780000,-0.721000
5.730000,-0.671000
5.680000,-0.621000
5.630000,-0.571000
5.580000,-0.521000
5.530000,-0.471000
5.530000,-0.421000
5.480000,-0.371000
5.430000,-0.321000
5.380000,-0.271000
5.330000,-0.221000
5.330000,-0.171000
5.280000,-0.121000
5.230000,-0.071000
5.180000,-0.021000
5.130000,0.029000
5.080000,0.079000
5.030000,0.129000
4.980000,0.129000
4.930000,0.179000
4.880000,0.179000
4.830000,0.229000
4.780000,0.279000
4.730000,0.279000
4.680000,0.329000
4.630000,0.329000
4.580000,0.379000
4.530000,0.429000
4.480000,0.479000
4.430000,0.529000
4.380000,0.579000
4.330000,0.629000
4.280000,0.679000
4.230000,0.679000
4.180000,0.729000
4.130000,0.779000
4.080000,0.829000
4.030000,0.879000
3.980000,0.879000
3.930000,0.929000
3.880000,0.979000
3.830000,0.979000
3.780000,0.979000
3.730000,1.029000
3.680000,1.029000
3.630000,1.079000
3.580000,1.079000
3.530000,1.129000
3.480000,1.179000
3.430000,1.229000
3.380000,1.279000
3.330000,1.279000
3.330000,1.329000
3.330000,1.379000
3.330000,1.429000
3.330000,1.479000
3.330000,1.529000
3.280000,1.579000
3.230000,1.629000
3.180000,1.679000
3.130000,1.729000
3.080000,1.779000
3.080000,1.829000
3.030000,1.879000
3.030000,1.929000
2.980000,1.979000
2.930000,2.029000
2.880000,2.079000
2.880000,2.129000
2.830000,2.179000
2.780000,2.229000
2.730000,2.279000
2.680000,2.329000
2.630000,2.379000
2.580000,2.429000
2.580000,2.479000
2.530000,2.529000
2.480000,2.579000
2.430000,2.629000
2.380000,2.679000
2.330000,2.729000
2.280000,2.729000
2.230000,2.779000
2.180000,2.779000
2.130000,2.829000
2.080000,2.829000
2.030000,2.879000
1.980000,2.879000
1.930000,2.879000
1.880000,2.879000
1.830000,2.879000
1.780000,2.879000
1.730000,2.879000
1.680000,2.879000
1.630000,2.879000
1.580000,2.829000
1.530000,2.829000
1.480000,2.779000
1.430000,2.779000
1.380000,2.729000
1.330000,2.729000
1.280000,2.679000
1.230000,2.679000
1.180000,2.629000
1.130000,2.579000
1.080000,2.579000
1.030000,2.529000
0.980000,2.479000
0.930000,2.429000
0.880000,2.379000
0.830000,2.329000
0.830000,2.279000
0.780000,2.229000
0.730000,2.229000
0.680000,2.179000
0.630000,2.179000
0.580000,2.129000
0.530000,2.079000
0.480000,2.029000
0.430000,1.979000
0.380000,1.929000
0.330000,1.879000
0.280000,1.829000
0.230000,1.779000
0.180000,1.779000
0.130000,1.729000
0.080000,1.729000
0.030000,1.679000
-0.020000,1.629000
-0.070000,1.579000
-0.120000,1.529000
-0.170000,1.479000
-0.220000,1.429000
-0.270000,1.429000
-0.320000,1.379000
-0.370000,1.329000
-0.420000,1.279000
-0.470000,1.229000
-0.520000,1.229000
-0.570000,1.179000
-0.620000,1.129000
-0.670000,1.079000
-0.720000,1.029000
-0.770000,1.029000
-0.820000,0.979000
-0.870000,0.929000
-0.920000,0.929000
-0.970000,0.879000
-1.020000,0.879000
-1.070000,0.829000
-1.120000,0.829000
-1.170000,0.779000
-1.220000,0.729000
-1.220000,0.679000
-1.270000,0.629000
-1.220000,0.579000
-1.220000,0.529000
-1.220000,0.479000
-1.170000,0.429000
-1.120000,0.379000
-1.070000,0.379000
-1.020000,0.379000
-0.970000,0.379000
-0.920000,0.379000
-0.870000,0.429000
-0.820000,0.429000
-0.770000,0.479000
-0.720000,0.529000
-0.670000,0.529000
-0.620000,0.579000
-0.570000,0.629000
-0.520000,0.629000
-0.470000,0.679000
-0.420000,0.729000
-0.370000,0.779000
-0.320000,0.829000
-0.270000,0.879000
-0.220000,0.929000
-0.170000,0.979000
-0.120000,0.979000
-0.070000,1.029000
-0.020000,1.079000
0.030000,1.129000
0.080000,1.179000
