x_m,y_m,w_tr_right_m,w_tr_left_m
6.080000,-2.050830,0.5500,0.5500
6.132795,-2.059738,0.5697,0.5697
6.184037,-2.062778,0.5795,0.5795
6.233890,-2.062909,0.5894,0.5894
6.285312,-2.060621,0.5992,0.5992
6.336914,-2.052219,0.6192,0.6192
6.387470,-2.036969,0.6492,0.6492
6.435917,-2.014298,0.6192,0.6192
6.481357,-1.988310,0.6494,0.6494
6.523053,-1.956126,0.6095,0.6095
6.563230,-1.917829,0.5998,0.5998
6.597130,-1.873664,0.6300,0.6300
6.624671,-1.828551,0.5998,0.5998
6.645937,-1.780431,0.6095,0.6095
6.661170,-1.730202,0.5794,0.5794
6.670781,-1.678927,0.5492,0.5492
6.675342,-1.627832,0.5394,0.5394
6.675587,-1.573795,0.5094,0.5094
6.675211,-1.521000,0.4894,0.4894
6.670928,-1.471000,0.4795,0.4795
6.664129,-1.421000,0.4697,0.4697
6.659160,-1.371000,0.4598,0.4598
6.648879,-1.321000,0.4500,0.4500
6.640755,-1.271000,0.4500,0.4500
6.632484,-1.221000,0.4500,0.4500
6.624720,-1.171000,0.4000,0.4000
6.616564,-1.121000,0.4000,0.4000
6.604485,-1.071000,0.4098,0.4098
6.592259,-1.021000,0.4197,0.4197
6.579314,-0.971000,0.3795,0.3795
6.565240,-0.921000,0.3995,0.3995
6.545283,-0.871000,0.4295,0.4295
6.521991,-0.821000,0.3995,0.3995
6.495283,-0.771000,0.4297,0.4297
6.465240,-0.721000,0.4200,0.4200
6.432109,-0.671000,0.4598,0.4598
6.393501,-0.621000,0.4598,0.4598
6.354338,-0.571000,0.4695,0.4695
6.315191,-0.521000,0.4894,0.4894
6.272285,-0.471000,0.4900,0.4900
6.229150,-0.421000,0.4900,0.4900
6.186685,-0.371000,0.5298,0.5298
6.141442,-0.321000,0.5298,0.5298
6.094482,-0.271000,0.5298,0.5298
6.046868,-0.221000,0.5298,0.5298
6.002458,-0.171000,0.5298,0.5298
5.957967,-0.121000,0.5094,0.5094
5.912903,-0.071000,0.4997,0.4997
5.871288,-0.021000,0.4900,0.4900
5.830000,0.029000,0.4900,0.4900
5.788712,0.081795,0.5492,0.5492
5.747097,0.133037,0.5395,0.5395
5.704828,0.185685,0.5298,0.5298
5.661579,0.235554,0.5298,0.5298
5.617022,0.282972,0.5298,0.5298
5.570830,0.328264,0.4900,0.4900
5.522677,0.374554,0.4900,0.4900
5.476747,0.417820,0.4900,0.4900
5.430082,0.458552,0.5298,0.5298
5.382517,0.500036,0.5298,0.5298
5.333890,0.538415,0.5395,0.5395
5.284037,0.574342,0.5094,0.5094
5.232795,0.608470,0.5394,0.5394
5.180000,0.641455,0.5298,0.5298
5.130000,0.673949,0.4997,0.4997
5.080000,0.709402,0.5094,0.5094
5.030000,0.744119,0.5394,0.5394
4.980000,0.778918,0.5094,0.5094
4.930000,0.814616,0.5298,0.5298
4.880000,0.852030,0.5298,0.5298
4.830000,0.894773,0.5298,0.5298
4.780000,0.934803,0.5298,0.5298
4.730000,0.975731,0.4900,0.4900
4.680000,1.013864,0.4900,0.4900
4.630000,1.052652,0.4997,0.4997
4.580000,1.095541,0.5094,0.5094
4.530000,1.138840,0.5298,0.5298
4.480000,1.178853,0.4900,0.4900
4.430000,1.219029,0.4900,0.4900
4.377205,1.260023,0.4997,0.4997
4.325963,1.297977,0.5094,0.5094
4.276110,1.336176,0.5298,0.5298
4.227483,1.375110,0.4997,0.4997
4.177123,1.415270,0.5094,0.5094
4.129215,1.457146,0.5394,0.5394
4.080637,1.501229,0.5894,0.5894
4.035410,1.543498,0.6192,0.6192
3.993043,1.587075,0.6492,0.6492
3.950252,1.632285,0.6591,0.6591
3.910892,1.679458,0.6295,0.6295
3.871517,1.728918,0.5795,0.5795
3.835819,1.776483,0.5894,0.5894
3.802981,1.825110,0.5492,0.5492
3.769392,1.874963,0.5395,0.5395
3.738581,1.926205,0.5697,0.5697
3.706773,1.979000,0.5600,0.5600
3.677336,2.029000,0.5600,0.5600
3.649124,2.079000,0.5998,0.5998
3.618199,2.129000,0.5992,0.5992
3.587764,2.179000,0.6192,0.6192
3.561023,2.229000,0.5992,0.5992
3.534037,2.279000,0.6192,0.6192
3.505662,2.329000,0.6095,0.6095
3.471958,2.379000,0.5998,0.5998
3.440641,2.429000,0.6300,0.6300
3.407771,2.479000,0.6192,0.6192
