x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
6.122006,-1.763021,0.8409,0.2591,-0.218760,1.018021,1.6237
6.261813,-1.779029,0.8982,0.3331,0.078860,3.972116,1.2290
6.354357,-1.744659,0.8740,0.3350,0.721771,7.541028,0.8920
6.407167,-1.651087,0.8395,0.3092,1.282979,2.664952,0.8920
6.430671,-1.486874,0.7209,0.2391,1.515917,0.770358,0.8920
6.428424,-1.264152,0.6584,0.2416,1.635779,0.488023,0.8920
6.401606,-1.040240,0.5793,0.2000,1.753591,0.596595,0.8920
6.348735,-0.833071,0.5842,0.2691,1.882155,0.530277,0.8920
6.265221,-0.616454,0.5745,0.3788,1.983801,0.361311,0.8920
6.155671,-0.392495,0.5665,0.4931,2.060264,0.272365,0.8920
6.028802,-0.172646,0.5107,0.5489,2.123719,0.233389,0.8920
5.889476,0.038845,0.4378,0.5422,2.179354,0.206614,0.8920
5.739956,0.241901,0.4664,0.5932,2.228013,0.177780,0.8920
5.580730,0.438954,0.4030,0.5770,2.268819,0.143332,0.8920
5.412129,0.632677,0.4121,0.6592,2.301299,0.111612,0.8920
5.238059,0.821475,0.3175,0.6857,2.326770,0.090101,0.8920
5.066390,0.999385,0.2992,0.7604,2.346710,0.067999,0.8920
4.892514,1.173637,0.2332,0.7468,2.359795,0.037120,0.8920
4.712806,1.350432,0.2498,0.8096,2.365304,0.007488,0.8920
4.533637,1.526035,0.2000,0.8159,2.363550,-0.022742,0.8920
4.365303,1.692860,0.2000,0.8662,2.354301,-0.058105,0.8920
4.211267,1.849628,0.3177,0.9958,2.344582,-0.025791,1.3604
4.058673,2.006696,0.2406,0.8691,2.343435,0.014255,1.7034
3.893479,2.175631,0.2994,0.8226,2.350701,0.045166,2.0089
3.715113,2.354051,0.4099,0.8021,2.365456,0.072952,2.2906
3.529293,2.533132,0.4924,0.7550,2.388398,0.107627,2.5467
3.340614,2.705175,0.5556,0.7044,2.421020,0.148215,2.7769
3.147465,2.868409,0.6729,0.6925,2.463700,0.188782,2.9875
2.947577,3.021641,0.7602,0.6398,2.516930,0.239711,3.1834
2.744446,3.158974,0.8767,0.6036,2.585987,0.345962,3.1596
2.548702,3.269280,0.9569,0.5681,2.686529,0.598246,2.8611
2.369248,3.342564,1.0211,0.5795,2.837841,0.904302,2.5758
2.186863,3.382699,0.9282,0.5356,3.001816,0.677562,2.5758
1.961877,3.399879,0.7910,0.5455,3.113427,0.388990,2.5758
1.714963,3.395994,0.6607,0.5393,-3.087000,0.314097,2.5758
1.468279,3.372905,0.6149,0.5693,-3.010840,0.299030,2.5758
1.221202,3.331064,0.5825,0.6162,-2.938626,0.275004,2.5758
0.972081,3.270787,0.5098,0.6634,-2.871697,0.248915,2.5758
0.722544,3.193112,0.4199,0.7122,-2.809002,0.236317,2.5758
0.478549,3.100310,0.3555,0.7953,-2.747307,0.238576,2.5758
0.242880,2.993537,0.3120,0.8684,-2.684871,0.242676,2.5758
0.014709,2.872392,0.2956,0.9463,-2.621508,0.253449,2.5758
-0.200322,2.739726,0.2746,0.9838,-2.555350,0.263860,2.5758
-0.406901,2.592390,0.2803,0.9962,-2.489115,0.255986,2.5758
-0.606335,2.429483,0.3056,0.9982,-2.424722,0.245418,2.5758
-0.797236,2.252194,0.3265,0.9605,-2.361541,0.242278,2.5758
-0.976987,2.062773,0.3997,0.9602,-2.297476,0.253310,2.5758
-1.141336,1.865111,0.4645,0.9188,-2.230370,0.263761,2.5758
-1.292740,1.655572,0.5463,0.8371,-2.162764,0.255337,2.5758
-1.432991,1.431366,0.6373,0.6968,-2.094524,0.281028,2.5758
-1.550388,1.209444,0.7504,0.5892,-2.012665,0.396860,2.8000
-1.636382,1.001422,0.8454,0.5379,-1.900751,0.616197,2.9017
-1.688301,0.806751,0.9481,0.5454,-1.749186,0.881342,2.6092
-1.705161,0.619968,0.9791,0.5395,-1.564235,1.053647,2.3863
-1.685869,0.436199,0.9819,0.5340,-1.365105,1.082815,2.1877
-1.629348,0.256604,0.9410,0.5222,-1.139085,1.665114,1.8110
-1.544344,0.128998,0.8998,0.4853,-0.769393,2.922560,1.4328
-1.415007,0.049017,0.7975,0.4816,-0.397553,1.301452,1.4328
-1.192652,-0.018681,0.6310,0.5119,-0.239389,0.431074,1.4328
-0.937012,-0.067647,0.5097,0.5052,-0.151235,0.301492,1.4328
-0.686154,-0.095871,0.4287,0.4758,-0.076971,0.281483,1.4328
-0.436962,-0.106213,0.4370,0.5630,-0.011622,0.235574,1.4328
-0.183364,-0.101715,0.4347,0.6653,0.040435,0.177863,1.4328
0.071488,-0.085642,0.4679,0.7976,0.079499,0.130051,1.4328
0.324368,-0.061265,0.5354,0.9597,0.107048,0.087071,1.4328
0.574106,-0.031632,0.4950,1.0062,0.123537,0.043839,1.4328
0.819776,0.000249,0.5979,1.1945,0.128880,-0.001388,1.4328
1.062176,0.031621,0.6676,1.3389,0.122538,-0.052035,1.4328
1.297707,0.059109,0.7815,1.5594,0.101472,-0.144530,1.4328
1.499248,0.076125,0.8203,1.6797,0.056346,-0.300205,1.4328
1.684745,0.080940,0.8106,1.5992,-0.006526,-0.291469,1.4328
1.905906,0.073471,0.8123,1.4355,-0.055545,-0.181349,1.4328
2.145188,0.055338,0.7533,1.2044,-0.094260,-0.154799,1.4328
2.384360,0.028238,0.7330,1.0670,-0.132662,-0.166117,1.4328
2.620453,-0.008084,0.6385,0.8917,-0.174178,-0.176444,1.4328
2.859915,-0.055442,0.5740,0.8565,-0.216892,-0.175753,1.7957
3.099367,-0.113617,0.4876,0.8124,-0.260893,-0.185348,2.0994
3.333134,-0.181780,0.3822,0.7361,-0.308569,-0.206758,2.3614
3.560344,-0.260553,0.2625,0.6414,-0.361155,-0.233501,2.5943
3.777794,-0.349738,0.2216,0.6098,-0.420027,-0.265948,2.8033
3.986461,-0.450859,0.2000,0.5794,-0.485152,-0.299150,2.9953
4.183314,-0.563519,0.2518,0.6045,-0.548181,-0.247543,3.1718
4.375672,-0.688514,0.2807,0.5593,-0.596301,-0.166699,3.3409
4.572183,-0.827453,0.3995,0.5655,-0.626340,-0.086671,3.5095
4.774588,-0.977140,0.4574,0.4722,-0.639784,-0.023509,3.6777
4.979566,-1.130630,0.5650,0.4283,-0.638764,0.031039,3.8411
5.186037,-1.282692,0.6394,0.3406,-0.623404,0.093554,3.9981
5.385243,-1.422337,0.7454,0.2806,-0.589297,0.207939,3.5244
5.564152,-1.535476,0.7829,0.2161,-0.525203,0.397289,2.7332
5.736564,-1.625925,0.7994,0.2000,-0.434572,0.465098,2.4317
5.929879,-1.705235,0.8244,0.2399,-0.341732,0.475172,2.0594
