x_m,y_m
-0.024000,-1.946000
0.026000,-1.996000
0.076000,-1.996000
0.126000,-1.996000
0.176000,-1.996000
0.226000,-1.996000
0.276000,-1.996000
0.326000,-1.996000
0.376000,-1.996000
0.426000,-1.996000
0.476000,-1.946000
0.526000,-1.946000
0.576000,-1.946000
0.626000,-1.946000
0.676000,-1.946000
0.726000,-1.946000
0.776000,-1.946000
0.826000,-1.946000
0.876000,-1.946000
0.926000,-1.946000
0.976000,-1.946000
1.026000,-1.896000
1.076000,-1.896000
1.126000,-1.896000
1.176000,-1.896000
1.226000,-1.896000
1.276000,-1.896000
1.326000,-1.896000
1.376000,-1.896000
1.426000,-1.896000
1.476000,-1.896000
1.526000,-1.896000
1.576000,-1.896000
1.626000,-1.896000
1.676000,-1.846000
1.726000,-1.846000
1.776000,-1.846000
1.826000,-1.846000
1.876000,-1.846000
1.926000,-1.796000
1.976000,-1.796000
2.026000,-1.796000
2.076000,-1.796000
2.126000,-1.746000
2.176000,-1.746000
2.226000,-1.746000
2.276000,-1.746000
2.326000,-1.746000
2.376000,-1.746000
2.426000,-1.746000
2.476000,-1.746000
2.526000,-1.696000
2.576000,-1.696000
2.626000,-1.696000
2.676000,-1.696000
2.726000,-1.696000
2.776000,-1.696000
2.826000,-1.646000
2.876000,-1.646000
2.926000,-1.646000
2.976000,-1.596000
3.026000,-1.596000
3.076000,-1.546000
3.126000,-1.496000
3.176000,-1.446000
3.226000,-1.396000
3.276000,-1.346000
3.276000,-1.296000
3.326000,-1.246000
3.376000,-1.196000
3.376000,-1.146000
3.426000,-1.096000
3.476000,-1.046000
3.476000,-0.996000
3.526000,-0.946000
3.526000,-0.896000
3.526000,-0.846000
3.576000,-0.796000
3.576000,-0.746000
3.576000,-0.696000
3.626000,-0.646000
3.626000,-0.596000
3.626000,-0.546000
3.676000,-0.496000
3.676000,-0.446000
3.676000,-0.396000
3.726000,-0.346000
3.726000,-0.296000
3.726000,-0.246000
3.776000,-0.196000
3.776000,-0.146000
3.776000,-0.096000
3.826000,-0.046000
3.826000,0.004000
3.876000,0.054000
3.876000,0.104000
3.926000,0.154000
3.926000,0.204000
3.926000,0.254000
3.926000,0.304000
3.976000,0.354000
4.026000,0.354000
4.076000,0.354000
4.126000,0.354000
4.176000,0.354000
4.226000,0.354000
4.276000,0.354000
4.326000,0.354000
4.376000,0.354000
4.426000,0.354000
4.476000,0.354000
4.526000,0.354000
4.576000,0.354000
4.626000,0.354000
4.676000,0.354000
4.726000,0.354000
4.776000,0.354000
4.826000,0.354000
4.876000,0.354000
4.926000,0.354000
4.976000,0.354000
5.026000,0.354000
5.076000,0.354000
5.126000,0.354000
5.176000,0.404000
5.176000,0.454000
5.176000,0.504000
5.176000,0.554000
5.126000,0.604000
5.076000,0.604000
5.026000,0.604000
4.976000,0.604000
4.976000,0.654000
4.976000,0.704000
4.976000,0.754000
4.976000,0.804000
4.926000,0.854000
4.926000,0.904000
4.926000,0.954000
4.926000,1.004000
4.926000,1.054000
4.926000,1.104000
4.926000,1.154000
4.926000,1.204000
4.926000,1.254000
4.976000,1.304000
5.026000,1.354000
5.026000,1.404000
5.076000,1.454000
5.076000,1.504000
5.126000,1.554000
5.126000,1.604000
5.126000,1.654000
5.126000,1.704000
5.176000,1.754000
5.176000,1.804000
5.176000,1.854000
5.176000,1.904000
5.176000,1.954000
5.176000,2.004000
5.176000,2.054000
5.176000,2.104000
5.176000,2.154000
5.226000,2.204000
5.226000,2.254000
5.226000,2.304000
5.226000,2.354000
5.226000,2.404000
5.226000,2.454000
5.226000,2.504000
5.226000,2.554000
5.226000,2.604000
5.226000,2.654000
5.226000,2.704000
5.226000,2.754000
5.226000,2.804000
5.226000,2.854000
5.226000,2.904000
5.226000,2.954000
5.226000,3.004000
5.226000,3.054000
5.226000,3.104000
5.226000,3.154000
5.226000,3.204000
5.226000,3.254000
5.226000,3.304000
5.226000,3.354000
5.226000,3.404000
5.226000,3.454000
5.226000,3.504000
5.226000,3.554000
5.226000,3.604000
5.226000,3.654000
5.226000,3.704000
5.226000,3.754000
5.226000,3.804000
5.226000,3.854000
5.226000,3.904000
5.226000,3.954000
5.176000,4.004000
5.176000,4.054000
5.176000,4.104000
5.176000,4.154000
5.126000,4.204000
5.076000,4.254000
5.076000,4.304000
5.026000,4.354000
4.976000,4.404000
