x_m,y_m
-4.174000,-2.346000
-4.174000,-2.296000
-4.174000,-2.246000
-4.174000,-2.196000
-4.174000,-2.146000
-4.174000,-2.096000
-4.174000,-2.046000
-4.174000,-1.996000
-4.174000,-1.946000
-4.174000,-1.896000
-4.174000,-1.846000
-4.174000,-1.796000
-4.174000,-1.746000
-4.174000,-1.696000
-4.174000,-1.646000
-4.174000,-1.596000
-4.174000,-1.546000
-4.174000,-1.496000
-4.174000,-1.446000
-4.174000,-1.396000
-4.174000,-1.346000
-4.174000,-1.296000
-4.174000,-1.246000
-4.174000,-1.196000
-4.174000,-1.146000
-4.174000,-1.096000
-4.174000,-1.046000
-4.174000,-0.996000
-4.174000,-0.946000
-4.174000,-0.896000
-4.174000,-0.846000
-4.174000,-0.796000
-4.174000,-0.746000
-4.174000,-0.696000
-4.174000,-0.646000
-4.174000,-0.596000
-4.174000,-0.546000
-4.174000,-0.496000
-4.174000,-0.446000
-4.174000,-0.396000
-4.174000,-0.346000
-4.174000,-0.296000
-4.174000,-0.246000
-4.174000,-0.196000
-4.174000,-0.146000
-4.174000,-0.096000
-4.174000,-0.046000
-4.174000,0.004000
-4.174000,0.054000
-4.174000,0.104000
-4.174000,0.154000
-4.174000,0.204000
-4.174000,0.254000
-4.174000,0.304000
-4.174000,0.354000
-4.174000,0.404000
-4.174000,0.454000
-4.174000,0.504000
-4.174000,0.554000
-4.174000,0.604000
-4.174000,0.654000
-4.174000,0.704000
-4.174000,0.754000
-4.174000,0.804000
-4.174000,0.854000
-4.174000,0.904000
-4.174000,0.954000
-4.174000,1.004000
-4.174000,1.054000
-4.174000,1.104000
-4.174000,1.154000
-4.174000,1.204000
-4.174000,1.254000
-4.174000,1.304000
-4.174000,1.354000
-4.174000,1.404000
-4.174000,1.454000
-4.174000,1.504000
-4.174000,1.554000
-4.174000,1.604000
-4.174000,1.654000
-4.174000,1.704000
-4.174000,1.754000
-4.174000,1.804000
-4.174000,1.854000
-4.174000,1.904000
-4.174000,1.954000
-4.174000,2.004000
-4.174000,2.054000
-4.174000,2.104000
-4.174000,2.154000
-4.174000,2.204000
-4.174000,2.254000
-4.174000,2.304000
-4.174000,2.354000
-4.174000,2.404000
-4.174000,2.454000
-4.174000,2.504000
-4.174000,2.554000
-4.174000,2.604000
-4.174000,2.654000
-4.174000,2.704000
-4.174000,2.754000
-4.174000,2.804000
-4.174000,2.854000
-4.174000,2.904000
-4.174000,2.954000
-4.174000,3.004000
-4.174000,3.054000
-4.174000,3.104000
-4.174000,3.154000
-4.174000,3.204000
-4.174000,3.254000
-4.174000,3.304000
-4.174000,3.354000
-4.174000,3.404000
-4.174000,3.454000
-4.174000,3.504000
-4.174000,3.554000
-4.174000,3.604000
-4.174000,3.654000
-4.174000,3.704000
-4.174000,3.754000
-4.174000,3.804000
-4.174000,3.854000
-4.174000,3.904000
-4.174000,3.954000
-4.174000,4.004000
-4.174000,4.054000
-4.174000,4.104000
-4.174000,4.154000
-4.174000,4.204000
-4.174000,4.254000
-4.174000,4.304000
-4.174000,4.354000
-4.174000,4.404000
-4.174000,4.454000
-4.174000,4.504000
-4.174000,4.554000
-4.174000,4.604000
-4.174000,4.654000
-4.174000,4.704000
-4.174000,4.754000
-4.174000,4.804000
-4.174000,4.854000
-4.174000,4.904000
-4.174000,4.954000
-4.174000,5.004000
-4.174000,5.054000
-4.174000,5.104000
-4.174000,5.154000
-4.174000,5.204000
-4.174000,5.254000
-4.174000,5.304000
-4.174000,5.354000
-4.174000,5.404000
-4.174000,5.454000
-4.174000,5.504000
-4.174000,5.554000
-4.174000,5.604000
-4.174000,5.654000
-4.174000,5.704000
-4.124000,5.704000
-4.074000,5.704000
-4.024000,5.704000
-3.974000,5.704000
-3.924000,5.704000
-3.874000,5.704000
-3.824000,5.704000
-3.774000,5.704000
-3.724000,5.704000
-3.674000,5.704000
-3.624000,5.704000
-3.574000,5.704000
-3.524000,5.704000
-3.474000,5.704000
-3.424000,5.704000
-3.374000,5.704000
-3.324000,5.704000
-3.274000,5.704000
-3.224000,5.704000
-3.174000,5.704000
-3.124000,5.704000
-3.074000,5.704000
-3.024000,5.704000
-2.974000,5.704000
-2.924000,5.704000
-2.874000,5.704000
-2.824000,5.704000
-2.774000,5.704000
-2.724000,5.704000
-2.674000,5.704000
-2.624000,5.704000
-2.574000,5.704000
-2.524000,5.704000
-2.474000,5.704000
-2.424000,5.704000
-2.374000,5.704000
-2.324000,5.704000
-2.274000,5.704000
-2.224000,5.704000
-2.174000,5.704000
-2.124000,5.704000
-2.074000,5.704000
-2.024000,5.704000
-1.974000,5.704000
-1.924000,5.704000
-1.874000,5.704000
-1.824000,5.704000
-1.774000,5.704000
-1.724000,5.704000
-1.674000,5.704000
-1.624000,5.704000
-1.574000,5.704000
-1.524000,5.704000
-1.474000,5.704000
-1.424000,5.704000
-1.374000,5.704000
-1.324000,5.704000
-1.274000,5.704000
-1.224000,5.704000
-1.174000,5.704000
-1.124000,5.704000
-1.074000,5.704000
-1.024000,5.704000
-0.974000,5.704000
-0.924000,5.704000
-0.874000,5.704000
-0.824000,5.704000
-0.774000,5.704000
-0.724000,5.704000
-0.674000,5.704000
-0.624000,5.704000
-0.574000,5.704000
-0.524000,5.704000
-0.474000,5.704000
-0.424000,5.704000
-0.374000,5.704000
-0.324000,5.704000
-0.274000,5.704000
-0.224000,5.704000
-0.174000,5.704000
-0.124000,5.704000
-0.074000,5.704000
-0.024000,5.704000
0.026000,5.704000
0.076000,5.704000
0.126000,5.704000
0.176000,5.704000
0.226000,5.704000
0.276000,5.704000
0.326000,5.704000
0.376000,5.704000
0.426000,5.704000
0.476000,5.704000
0.526000,5.704000
0.576000,5.704000
0.626000,5.704000
0.676000,5.704000
0.726000,5.704000
0.776000,5.704000
0.826000,5.704000
0.876000,5.704000
0.926000,5.704000
0.976000,5.704000
1.026000,5.704000
1.076000,5.704000
1.126000,5.704000
1.176000,5.704000
1.226000,5.704000
1.276000,5.704000
1.326000,5.704000
1.376000,5.704000
1.426000,5.704000
1.476000,5.704000
1.526000,5.704000
1.576000,5.704000
1.626000,5.704000
1.676000,5.704000
1.726000,5.704000
1.776000,5.704000
1.826000,5.704000
1.876000,5.704000
1.926000,5.704000
1.976000,5.704000
2.026000,5.704000
2.076000,5.704000
2.126000,5.704000
2.176000,5.704000
2.226000,5.704000
2.276000,5.704000
2.326000,5.704000
2.376000,5.704000
2.426000,5.704000
2.476000,5.704000
2.526000,5.704000
2.576000,5.704000
2.626000,5.704000
2.676000,5.704000
2.726000,5.704000
2.776000,5.704000
2.826000,5.704000
2.876000,5.704000
2.926000,5.704000
2.976000,5.704000
3.026000,5.704000
3.076000,5.704000
3.126000,5.704000
3.176000,5.704000
3.226000,5.704000
3.276000,5.704000
3.326000,5.704000
3.376000,5.704000
3.426000,5.704000
3.476000,5.704000
3.526000,5.704000
3.576000,5.704000
3.626000,5.704000
3.676000,5.704000
3.726000,5.704000
3.776000,5.704000
3.826000,5.704000
3.876000,5.704000
3.926000,5.704000
3.976000,5.704000
4.026000,5.704000
4.076000,5.704000
4.126000,5.704000
4.176000,5.704000
4.226000,5.704000
4.276000,5.704000
4.326000,5.704000
4.376000,5.704000
4.426000,5.704000
4.476000,5.704000
4.526000,5.704000
4.576000,5.704000
4.626000,5.704000
4.676000,5.704000
4.726000,5.704000
4.776000,5.704000
4.826000,5.704000
4.876000,5.704000
