x_m,y_m,w_tr_right_m,w_tr_left_m
0.576000,-0.615140,1.1500,1.1500
0.626000,-0.618883,1.1500,1.1500
0.676000,-0.620910,1.1500,1.1500
0.726000,-0.621057,1.1500,1.1500
0.776000,-0.619161,1.1500,1.1500
0.826000,-0.615059,1.1492,1.1492
0.876000,-0.613097,1.1394,1.1394
0.926000,-0.610482,1.1295,1.1295
0.976000,-0.610008,1.1197,1.1197
1.026000,-0.607327,1.1098,1.1098
1.076000,-0.602603,1.1000,1.1000
1.126000,-0.596000,1.1000,1.1000
1.176000,-0.592192,1.0500,1.0500
1.226000,-0.588710,1.0598,1.0598
1.276000,-0.585882,1.0697,1.0697
1.326000,-0.584035,1.0795,1.0795
1.376000,-0.578985,1.0894,1.0894
1.426000,-0.576484,1.0992,1.0992
1.476000,-0.572348,1.1091,1.1091
1.526000,-0.566906,1.1189,1.1189
1.576000,-0.563277,1.1288,1.1288
1.626000,-0.557442,1.1386,1.1386
1.676000,-0.549890,1.1386,1.1386
1.726000,-0.543908,1.1189,1.1189
1.776000,-0.538432,1.1288,1.1288
1.826000,-0.532564,1.1386,1.1386
1.876000,-0.525568,1.1484,1.1484
1.926000,-0.516873,1.1394,1.1394
1.976000,-0.506069,1.1295,1.1295
2.026000,-0.488399,1.1684,1.1684
2.078795,-0.466415,1.1500,1.1500
2.130037,-0.440034,1.2000,1.2000
2.182685,-0.409338,1.1984,1.1984
2.232554,-0.374571,1.2384,1.2384
2.279972,-0.336144,1.2083,1.2083
2.328059,-0.294627,1.1886,1.1886
2.372796,-0.250756,1.1886,1.1886
2.417468,-0.205431,1.1484,1.1484
2.458216,-0.155202,1.1286,1.1286
2.495696,-0.103927,1.0886,1.0886
2.533355,-0.052832,1.0586,1.0586
2.567500,0.001205,1.0788,1.0788
2.601744,0.054000,1.0386,1.0386
2.632554,0.104000,1.0188,1.0188
2.660913,0.154000,1.0288,1.0288
2.687801,0.204000,0.9886,0.9886
2.716994,0.254000,1.0188,1.0188
2.745124,0.304000,0.9788,0.9788
2.776131,0.354000,0.9488,0.9488
2.809606,0.404000,0.9788,0.9788
2.842509,0.454000,0.9488,0.9488
2.874594,0.504000,0.9788,0.9788
2.908413,0.554000,0.9295,0.9295
2.939370,0.604000,0.8697,0.8697
2.967386,0.654000,0.8598,0.8598
2.996889,0.704000,0.8000,0.8000
3.023450,0.754000,0.8000,0.8000
3.049946,0.804000,0.7500,0.7500
3.069315,0.854000,0.7598,0.7598
3.088945,0.904000,0.7197,0.7197
3.106288,0.954000,0.7295,0.7295
3.121587,1.004000,0.7394,0.7394
3.137883,1.054000,0.6992,0.6992
3.148279,1.104000,0.7091,0.7091
3.160325,1.154000,0.7291,0.7291
3.171636,1.204000,0.7591,0.7591
3.184336,1.254000,0.7291,0.7291
3.196039,1.304000,0.7591,0.7591
3.211502,1.354000,0.7495,0.7495
3.230969,1.404000,0.7591,0.7591
3.250175,1.454000,0.7291,0.7291
3.273712,1.504000,0.7091,0.7091
3.298867,1.554000,0.7291,0.7291
3.325559,1.604000,0.7091,0.7091
3.353542,1.654000,0.7291,0.7291
3.386919,1.704000,0.7591,0.7591
3.425281,1.754000,0.7492,0.7492
3.463708,1.804000,0.7894,0.7894
3.504424,1.854000,0.8189,0.8189
3.549652,1.904000,0.8389,0.8389
3.594470,1.954000,0.8689,0.8689
3.641266,2.004000,0.8788,0.8788
3.685284,2.054000,0.8992,0.8992
3.721767,2.104000,0.8788,0.8788
3.757612,2.154000,0.9189,0.9189
