x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
0.580758,-0.533242,1.2320,1.0680,-0.194398,0.472863,3.5349
0.826247,-0.567326,1.1966,1.1012,-0.085637,0.417582,3.7906
1.077256,-0.575865,1.1264,1.0736,0.016443,0.402304,3.8619
1.328017,-0.559075,1.1049,1.0556,0.117470,0.403063,3.8540
1.576157,-0.516988,1.1757,1.0838,0.220296,0.422205,3.5505
1.815181,-0.449984,1.2229,1.0562,0.336428,0.552813,3.2589
2.025496,-0.359844,1.2708,1.0330,0.479468,0.682597,2.9648
2.211721,-0.243809,1.3211,1.0920,0.630320,0.633048,3.0786
2.389024,-0.094612,1.2185,1.0350,0.756465,0.465981,3.3663
2.557761,0.082764,1.0908,0.9857,0.853723,0.343240,3.6456
2.715885,0.280270,1.0174,0.9897,0.929462,0.268033,3.9134
2.859880,0.487413,0.9712,0.9643,0.992330,0.230748,4.1632
2.991187,0.701878,0.8085,0.8008,1.045550,0.190786,4.3982
3.112820,0.923856,0.7086,0.7407,1.088233,0.145460,4.6227
3.227985,1.153893,0.6737,0.8059,1.115753,0.074365,4.8402
3.333561,1.375001,0.6473,0.8597,1.132312,0.059825,5.0386
3.431147,1.587138,0.6228,0.8236,1.147142,0.060877,4.8966
3.530729,1.812218,0.7649,0.8585,1.166018,0.089780,3.8740
3.631181,2.054031,0.9296,0.8482,1.214111,0.301309,3.5935
3.707886,2.287650,1.0634,0.8422,1.314137,0.548152,3.3085
3.749511,2.504902,1.1582,0.8553,1.447881,0.587585,3.1955
3.762689,2.731259,1.1828,0.8627,1.577364,0.565619,2.7107
3.746520,2.960311,1.3090,0.9356,1.726213,0.878831,2.3475
3.697503,3.147300,1.3993,0.9826,1.957130,1.513546,1.9910
3.609407,3.297384,1.3961,0.9850,2.244173,1.488606,2.0076
3.470155,3.432282,1.2991,0.9307,2.470428,0.877063,2.3626
3.283079,3.556538,1.2275,0.9264,2.617744,0.525412,2.7163
3.070163,3.663351,1.1527,0.9150,2.726820,0.414027,3.0470
2.843204,3.750222,0.9769,0.8160,2.822248,0.371347,3.3508
2.603239,3.817745,0.8504,0.7783,2.908950,0.327690,3.6363
2.353368,3.866280,0.7526,0.7741,2.986990,0.293671,3.9062
2.101133,3.895996,0.7080,0.7920,3.060708,0.290262,4.1582
1.850396,3.907052,0.6935,0.8065,3.134530,0.297215,4.3930
1.601242,3.899527,0.7949,0.8751,-3.075076,0.284533,4.4124
1.347011,3.873519,0.9107,0.8805,-2.998330,0.331809,4.1743
1.101930,3.827501,0.9693,0.8307,-2.909194,0.388851,3.9281
0.870307,3.760695,0.9961,0.8055,-2.813886,0.384638,3.8459
0.642888,3.671443,1.0709,0.8291,-2.717776,0.421621,3.5443
0.432305,3.563086,1.1564,0.8483,-2.606271,0.548335,3.2661
0.251060,3.439054,1.2800,0.9306,-2.470530,0.673383,2.9850
0.095544,3.295703,1.3873,1.0299,-2.322601,0.695770,2.9366
-0.039072,3.128743,1.2438,0.9159,-2.181852,0.592062,3.1834
-0.158110,2.933594,1.1499,0.8861,-2.064589,0.455262,3.4587
-0.259635,2.718981,0.9927,0.8073,-1.965290,0.379188,3.7232
-0.345288,2.483991,0.8793,0.8207,-1.882393,0.294225,3.9828
-0.415331,2.235584,0.8116,0.8884,-1.817025,0.227027,4.2341
-0.469608,1.989338,0.7787,0.9213,-1.756582,0.244061,4.4660
-0.509070,1.736851,0.7455,0.9195,-1.695976,0.232439,4.6893
-0.533586,1.480920,0.7415,0.9577,-1.636876,0.232671,4.9037
-0.542743,1.228011,0.7756,1.0131,-1.575676,0.249898,4.9000
-0.536044,0.977317,0.8088,1.0359,-1.510923,0.267116,4.7394
-0.512885,0.729916,0.8810,1.0553,-1.444571,0.257234,3.5788
-0.472584,0.477239,1.0113,1.0578,-1.377171,0.272945,3.0166
-0.413663,0.223897,1.1773,1.0349,-1.266213,0.691233,2.6493
-0.329142,0.020946,1.4157,1.1421,-1.064940,1.140647,2.2935
-0.213191,-0.138010,1.4331,1.1270,-0.823242,1.132823,2.3014
-0.054948,-0.274827,1.3900,1.0898,-0.620311,0.840856,2.6401
0.135873,-0.387375,1.3780,1.1022,-0.456773,0.665022,2.9567
0.349074,-0.473379,1.3148,1.0852,-0.316832,0.558356,3.2529
